asin,first_three_words,shortened_product_title,product_price,product_original_price,currency,product_star_rating,product_num_ratings,product_num_offers,product_minimum_offer_price,sales_volume,delivery
B08WF93R89,Samsung Galaxy S21,"Samsung Galaxy S21 5G, US Vers",$238.99 ,$849.99 ,USD,4.0,1038,15,$164.99 ,400+ bought in past month,FREE delivery Sep 23 - 25 Only 2 left in stock - order soon.
B09XP9FX25,Samsung Galaxy A53,Samsung Galaxy A53 5G A Series,$169.99 ,$189.00 ,USD,3.9,411,14,$127.16 ,200+ bought in past month,"FREE delivery Sat, Sep 21 Or fastest delivery Tomorrow, Sep 20 Only 3 left in stock - order soon."
B0BDP9S53V,SAMSUNG S21 FE,SAMSUNG S21 FE 128GB GRAY TMOB,$169.99 ,$188.00 ,USD,4.0,131,19,$162.82 ,50+ bought in past month,FREE delivery
B07C4WX72D,VTech SN5147 Amplified,VTech SN5147 Amplified Corded/,$63.98 ,$109.95 ,USD,4.0,6350,23,$29.95 ,1K+ bought in past month,FREE deliveryOnly 10 left in stock - order soon.
B0CYQ916ZY,Google Pixel 8a,Google Pixel 8a - Unlocked And,$399.00 ,$499.00 ,USD,4.2,400,2,$383.04 ,1K+ bought in past month,"FREE delivery Tue, Sep 24"
B0CRFB8HW4,SAMSUNG Galaxy A05,"SAMSUNG Galaxy A05 (128GB, 4GB",$111.07 ,$119.99 ,USD,4.0,101,10,$94.76 ,500+ bought in past month,"FREE delivery Wed, Sep 25"
B0BZG31S2R,Panasonic Cordless Phone,Panasonic Cordless Phone with ,$99.99 ,$119.99 ,USD,4.4,1332,7,$46.20 ,1K+ bought in past month,"FREE delivery Tue, Sep 24"
B0CV1FCLLR,Motorola Moto G14,Motorola Moto G14 Dual SIM (20,$103.12 ,$149.99 ,USD,3.8,37,7,$102.96 ,400+ bought in past month,"FREE delivery Wed, Oct 2 Only 6 left in stock - order soon."
B0CQ5JGH2Y,"OnePlus 12,16GB RAM+512GB,Dual-SIM,Unlocked","OnePlus 12,16GB RAM+512GB,Dual",$799.99 ,$899.99 ,USD,4.5,506,2,$715.67 ,400+ bought in past month,"FREE delivery Tue, Sep 24"
B000050FZP,AT&amp;T 210 Basic,AT&amp;T 210 Basic Trimline Co,$15.95 ,$18.86 ,USD,4.2,19530,49,$8.61 ,1K+ bought in past month,"FREE delivery Thu, Sep 26 on $35 of items shipped by AmazonOr fastest delivery Tue, Sep 24"
B09R1RKWPM,AT&amp;T TRIMLINE 210,AT&amp;T TRIMLINE 210 Corded H,$16.14 ,$16.95 ,USD,4.3,2962,3,$9.65 ,1K+ bought in past month,"FREE delivery Tue, Sep 24 on $35 of items shipped by Amazon"
B0CN1Q2X3B,SAMSUNG Galaxy A25,SAMSUNG Galaxy A25 5G A Series,$249.99 ,$299.99 ,USD,3.4,262,2,$164.31 ,500+ bought in past month,"FREE delivery Tue, Sep 24"
B0CRWT7WF1,Samsung Galaxy A05,Samsung Galaxy A05 A055M 64GB ,$98.00 ,$118.97 ,USD,4.0,115,14,$95.97 ,500+ bought in past month,"FREE delivery Tue, Sep 24"
B07VCB7P1L,Kyocera DuraForce Pro,Kyocera DuraForce Pro 2 with S,$72.25 ,$91.00 ,USD,3.5,381,7,$64.30 ,50+ bought in past month,"FREE delivery Tue, Sep 24"
B084KS5WYC,Samsung Galaxy A10e,Samsung Galaxy A10e 32GB A102U,$69.07 ,$77.00 ,USD,3.9,3440,26,$68.95 ,500+ bought in past month,"FREE delivery Sat, Sep 21"
B0CNL663BM,Apple iPhone 8,Apple iPhone 8 64GB Unlocked -,$120.00 ,$139.00 ,USD,4.1,269,10,$89.99 ,1K+ bought in past month,"FREE delivery Sat, Sep 21"
B092499CS7,AT&amp;T CL82267 DECT,AT&amp;T CL82267 DECT 6.0 2-Ha,$46.49 ,$65.95 ,USD,4.3,7573,2,$32.72 ,300+ bought in past month,"FREE delivery Tue, Sep 24"
B0CF2PV74C,Motorola Moto G54,Motorola Moto G54 Dual-SIM 256,$154.98 ,$177.00 ,USD,4.4,1073,6,$139.50 ,200+ bought in past month,"FREE delivery Tue, Sep 24"
B0CGTKM9WC,Google Pixel 8,Google Pixel 8 - Unlocked Andr,$499.00 ,$699.00 ,USD,4.3,2391,5,$475.00 ,400+ bought in past month,"FREE delivery Tue, Sep 24"
B0B8F1S1XG,AT&amp;T CL82219 DECT,AT&amp;T CL82219 DECT 6.0 2-Ha,$51.60 ,$65.95 ,USD,4.3,574,6,$27.67 ,500+ bought in past month,"FREE delivery Tue, Sep 24"
B0CD8YMKWC,SAMSUNG Galaxy S23,SAMSUNG Galaxy S23 FE Cell Pho,$559.99 ,$659.99 ,USD,4.5,1159,2,$451.85 ,100+ bought in past month,"FREE delivery Tue, Sep 24"
B0DB88HK1Z,Reno 11 Pro,Reno 11 Pro Unlocked Android P,$99.99 ,$119.99 ,USD,2.8,6,1,$99.99 ,List: ,"FREE delivery Wed, Sep 25"
B0BP8GMBPF,ONEPLUS 10T |,ONEPLUS 10T | Moonstone Black ,$204.95 ,$389.00 ,USD,3.8,73,1,$204.95 ,200+ bought in past month,"FREE delivery Tue, Sep 24"
B0B8F1S1XG,AT&amp;T CL82219 DECT,AT&amp;T CL82219 DECT 6.0 2-Ha,$51.60 ,$65.95 ,USD,4.3,574,6,$27.67 ,500+ bought in past month,"FREE delivery Tue, Sep 24"
B0DB88HK1Z,Reno 11 Pro,Reno 11 Pro Unlocked Android P,$99.99 ,$119.99 ,USD,2.8,6,1,$99.99 ,List: ,"FREE delivery Wed, Sep 25"
B086R819LS,VTech IS8151-5 Super,VTech IS8151-5 Super Long Rang,$148.87 ,$164.95 ,USD,4.2,8627,5,$51.94 ,300+ bought in past month,"FREE delivery Tue, Sep 24"
B09RNBM76R,SAMSUNG Galaxy XCover6,SAMSUNG Galaxy XCover6 Pro 5G ,$124.99 ,$499.99 ,USD,3.9,98,7,$98.99 ,100+ bought in past month,"FREE delivery Tue, Sep 24"
B0D18SMB1X,SAMSUNG Galaxy Z,SAMSUNG Galaxy Z Fold 6 AI Cel,"$1,614.99 ","$2,019.99 ",USD,4.1,83,10,"$1,583.65 ",300+ bought in past month,"FREE delivery Tomorrow, Sep 20 Only 5 left in stock - order soon."
B09ZRTQXQ7,Samsung Galaxy A13,"Samsung Galaxy A13 5G (64GB, 4",$94.00 ,$179.00 ,USD,4.0,171,21,$77.67 ,100+ bought in past month,"FREE delivery Tue, Sep 24 Only 13 left in stock - order soon."
B0CWLJSSSX,[New] VTech VG131-21,[New] VTech VG131-21 DECT 6.0 ,$30.52 ,$32.95 ,USD,4.2,40734,2,$19.99 ,200+ bought in past month,"FREE delivery Tue, Sep 24 on $35 of items shipped by Amazon"
B08HBPXM97,Kyocera DuraXV Extreme,Kyocera DuraXV Extreme E4810 V,$159.99 ,$199.75 ,USD,3.8,275,7,$125.98 ,100+ bought in past month,"FREE delivery Fri, Sep 27 Or fastest delivery Mon, Sep 23"
B08L9MY937,Samsung - Galaxy,Samsung - Galaxy A71 A716U 5G ,$145.00 ,$166.00 ,USD,4.0,1769,16,$111.10 ,300+ bought in past month,"FREE delivery Tue, Sep 24"
B09BM2FZ3M,OnePlus Nord N200,OnePlus Nord N200 | 5G for T-M,$74.00 ,$84.37 ,USD,4.1,385,16,$70.00 ,500+ bought in past month,"FREE delivery Wed, Sep 25"
B084HM9YWW,"Apple iPhone 11,","Apple iPhone 11, US Version, 6",$209.00 ,$222.07 ,USD,4.2,52783,1,$209.00 ,100+ bought in past month,"FREE delivery Sat, Sep 21 Or fastest delivery Tomorrow, Sep 20 Only 7 left in stock - order soon."
B08HKRVZ4W,Samsung Galaxy Note,Samsung Galaxy Note 20 5G (128,$225.00 ,$598.98 ,USD,4.3,940,19,$190.95 ,400+ bought in past month,"FREE delivery Thu, Sep 26 Or fastest delivery Tomorrow, Sep 20"
B00FRS8UKM,VTech CS6719-16 DECT,VTech CS6719-16 DECT 6.0 Phone,$20.23 ,$21.95 ,USD,4.4,37768,6,$10.99 ,300+ bought in past month,"FREE delivery Tue, Sep 24 on $35 of items shipped by Amazon"
B07BZV9DST,VTech DS6151-2 2,VTech DS6151-2 2 Handset 2-Lin,$96.87 ,$109.95 ,USD,4.1,1173,21,$36.35 ,600+ bought in past month,"FREE delivery Fri, Sep 27"
B0CMPLN52T,"Apple iPhone 15,","Apple iPhone 15, 128GB, Pink -",$620.05 ,$661.99 ,USD,4.4,566,21,$615.99 ,200+ bought in past month,FREE delivery Sep 24 - 25 Only 1 left in stock - order soon.
