asin,product_title,product_price,product_original_price,currency,product_star_rating,product_num_ratings,product_num_offers,product_minimum_offer_price,sales_volume,delivery
B09R1RKWPM,"AT&amp;T TRIMLINE 210 Corded Home Phone, No AC Power Required, Improved Easy-Wall-Mount, Lighted Big Button Keypad, 13 SpeedDial Keys, Last Number Redial, Mute, Flash, Volume Control, Beige",$16.14 ,$16.95 ,USD,4.3,2962,3,$9.65 ,1K+ bought in past month,"FREE delivery Tue, Sep 24 on $35 of items shipped by Amazon"
B0CN1Q2X3B,"SAMSUNG Galaxy A25 5G A Series Cell Phone, 128GB Unlocked Android Smartphone, AMOLED Display, Advanced Triple Camera System, Expandable Storage, Stereo Speakers, US Version, 2024, Black",$249.99 ,$299.99 ,USD,3.4,262,2,$164.31 ,500+ bought in past month,"FREE delivery Tue, Sep 24"
B0CRWT7WF1,Samsung Galaxy A05 A055M 64GB Dual-SIM GSM Unlocked Android Smartphone (Latin America Version) - Black,$98.00 ,$118.97 ,USD,4.0,115,14,$95.97 ,500+ bought in past month,"FREE delivery Tue, Sep 24"
B07VCB7P1L,Kyocera DuraForce Pro 2 with Sapphire Shield E6910 Black - Verizon (Renewed),$72.25 ,$91.00 ,USD,3.5,381,7,$64.30 ,50+ bought in past month,"FREE delivery Tue, Sep 24"
B084KS5WYC,Samsung Galaxy A10e 32GB A102U GSM Unlocked Phone - Black (Renewed),$69.07 ,$77.00 ,USD,3.9,3440,26,$68.95 ,500+ bought in past month,"FREE delivery Sat, Sep 21"
B0CNL663BM,Apple iPhone 8 64GB Unlocked - Gray,$120.00 ,$139.00 ,USD,4.1,269,10,$89.99 ,1K+ bought in past month,"FREE delivery Sat, Sep 21"
B092499CS7,"AT&amp;T CL82267 DECT 6.0 2-Handset Cordless Phone for Home with Answering Machine, Call Blocking, Caller ID Announcer, Intercom and Long Range, Black &amp; Wood Grain Finish",$46.49 ,$65.95 ,USD,4.3,7573,2,$32.72 ,300+ bought in past month,"FREE delivery Tue, Sep 24"
B0CF2PV74C,Motorola Moto G54 Dual-SIM 256GB ROM + 8GB RAM (Only GSM | No CDMA) Factory Unlocked 5G Smartphone (Midnight Blue) - International Version,$154.98 ,$177.00 ,USD,4.4,1073,6,$139.50 ,200+ bought in past month,"FREE delivery Tue, Sep 24"
B0CGTKM9WC,"Google Pixel 8 - Unlocked Android Smartphone with Advanced Pixel Camera, 24-Hour Battery, and Powerful Security - Hazel - 128 GB",$499.00 ,$699.00 ,USD,4.3,2391,5,$475.00 ,400+ bought in past month,"FREE delivery Tue, Sep 24"
B0B8F1S1XG,"AT&amp;T CL82219 DECT 6.0 2-Handset Cordless Phone for Home with Answering Machine, Call Blocking, Caller ID Announcer, Intercom and Long Range, Black",$51.60 ,$65.95 ,USD,4.3,574,6,$27.67 ,500+ bought in past month,"FREE delivery Tue, Sep 24"
B0CD8YMKWC,"SAMSUNG Galaxy S23 FE Cell Phone, 256GB, Unlocked Android Smartphone, Long Battery Life, Premium Processor, Tough Gorilla Glass Display, Hi-Res 50MP Camera, US Version, 2023, Cream",$559.99 ,$659.99 ,USD,4.5,1159,2,$451.85 ,100+ bought in past month,"FREE delivery Tue, Sep 24"
B0DB88HK1Z,Reno 11 Pro Unlocked Android Phone 6.7-inch HD LCD Unlocked Cell Phone 8GB+256GB Android 13 Smartphone 6000 mAh Large Battery Unlocked Phone 50MP+13MP Camera Dual SIM (Rock Grey),$99.99 ,$119.99 ,USD,2.8,6,1,$99.99 ,List: ,"FREE delivery Wed, Sep 25"
B0BP8GMBPF,ONEPLUS 10T | Moonstone Black | 5G Unlocked Android Smartphone U.S Version | 8GB RAM+128GB Storage (Renewed),$204.95 ,$389.00 ,USD,3.8,73,1,$204.95 ,200+ bought in past month,"FREE delivery Tue, Sep 24"
B0B8F1S1XG,"AT&amp;T CL82219 DECT 6.0 2-Handset Cordless Phone for Home with Answering Machine, Call Blocking, Caller ID Announcer, Intercom and Long Range, Black",$51.60 ,$65.95 ,USD,4.3,574,6,$27.67 ,500+ bought in past month,"FREE delivery Tue, Sep 24"
B0DB88HK1Z,Reno 11 Pro Unlocked Android Phone 6.7-inch HD LCD Unlocked Cell Phone 8GB+256GB Android 13 Smartphone 6000 mAh Large Battery Unlocked Phone 50MP+13MP Camera Dual SIM (Rock Grey),$99.99 ,$119.99 ,USD,2.8,6,1,$99.99 ,List: ,"FREE delivery Wed, Sep 25"
B086R819LS,"VTech IS8151-5 Super Long Range 5 Handset DECT 6.0 Cordless Phone for Home with Answering Machine, 2300 ft Range, Call Blocking, Bluetooth, Headset Jack, Power Backup, Intercom, Expandable to 12 HS",$148.87 ,$164.95 ,USD,4.2,8627,5,$51.94 ,300+ bought in past month,"FREE delivery Tue, Sep 24"
B09RNBM76R,"SAMSUNG Galaxy XCover6 Pro 5G | Rugged (IP68 Rated) Unlocked (Verizon, AT&amp;T, T-Mobile, US Cellular) | Dual Sim (1 Nano + 1 eSIM) | 128GB | US Version (2022 Model) | Black (SM-G736UZKEXAA)",$124.99 ,$499.99 ,USD,3.9,98,7,$98.99 ,100+ bought in past month,"FREE delivery Tue, Sep 24"
B0D18SMB1X,"SAMSUNG Galaxy Z Fold 6 AI Cell Phone, 512GB Unlocked Android Smartphone, Circle to Search, Handsfree Live Interpreter, AI Photo Edits, Large Screen, 2024,US 1 Yr Manufacturer Warranty, Silver Shadow","$1,614.99 ","$2,019.99 ",USD,4.1,83,10,"$1,583.65 ",300+ bought in past month,"FREE delivery Tomorrow, Sep 20 Only 5 left in stock - order soon."
B09ZRTQXQ7,"Samsung Galaxy A13 5G (64GB, 4GB) 6.5&quot; HD+, 50MP Triple Camera, 5000mAh Battery, 5G / 4G Volte (for T-Mobile, Metro, Sprint Only) A136U (Black) (Renewed)",$94.00 ,$179.00 ,USD,4.0,171,21,$77.67 ,100+ bought in past month,"FREE delivery Tue, Sep 24 Only 13 left in stock - order soon."
B0CWLJSSSX,"[New] VTech VG131-21 DECT 6.0 2-Handset Cordless Phone - Bluetooth Connection, Blue-White Display, Big Buttons, Full Duplex Speakerphone, Caller ID, Easy Wall Mount, 1000ft Range (Black)",$30.52 ,$32.95 ,USD,4.2,40734,2,$19.99 ,200+ bought in past month,"FREE delivery Tue, Sep 24 on $35 of items shipped by Amazon"
B08HBPXM97,Kyocera DuraXV Extreme E4810 Verizon Rugged LTE Flip Basic Cell Phone Camera GPS Black- (Renewed),$159.99 ,$199.75 ,USD,3.8,275,7,$125.98 ,100+ bought in past month,"FREE delivery Fri, Sep 27 Or fastest delivery Mon, Sep 23"
B08L9MY937,Samsung - Galaxy A71 A716U 5G Fully Unlocked 128GB - Prism Cube Black (Renewed),$145.00 ,$166.00 ,USD,4.0,1769,16,$111.10 ,300+ bought in past month,"FREE delivery Tue, Sep 24"
B09BM2FZ3M,OnePlus Nord N200 | 5G for T-Mobile U.S Version | 6.49&quot; Full HD+LCD Screen | 90Hz Smooth Display | Large 5000mAh Battery | Fast Charging | 64GB Storage | Triple Camera (T-Mobile) (Renewed),$74.00 ,$84.37 ,USD,4.1,385,16,$70.00 ,500+ bought in past month,"FREE delivery Wed, Sep 25"
B084HM9YWW,"Apple iPhone 11, US Version, 64GB, Black - T-Mobile (Renewed)",$209.00 ,$222.07 ,USD,4.2,52783,1,$209.00 ,100+ bought in past month,"FREE delivery Sat, Sep 21 Or fastest delivery Tomorrow, Sep 20 Only 7 left in stock - order soon."
